"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.04.2021","337,86","337,86","337,86","337,86","-","0,00%"
"10.04.2021","337,86","337,86","337,86","337,86","-","0,00%"
"09.04.2021","337,86","335,71","338,03","335,39","3,03M","0,81%"
"08.04.2021","335,13","334,29","335,13","333,45","2,66M","0,23%"
"07.04.2021","334,37","334,22","335,15","333,47","2,66M","0,00%"
"06.04.2021","334,37","334,69","335,42","333,79","2,99M","-0,25%"
"05.04.2021","335,20","333,95","336,15","333,91","5,63M","1,13%"
"01.04.2021","331,45","330,84","331,60","329,74","5,94M","0,38%"
"31.03.2021","330,18","330,66","331,62","330,04","3,76M","-0,19%"
"30.03.2021","330,82","331,01","331,60","329,78","4,57M","-0,25%"
"29.03.2021","331,66","329,39","332,44","328,93","5,20M","0,32%"
"26.03.2021","330,61","327,60","330,89","326,68","4,96M","1,36%"
"25.03.2021","326,19","322,62","326,60","320,63","5,56M","0,65%"
"24.03.2021","324,08","325,24","327,72","324,08","6,10M","0,01%"
"23.03.2021","324,06","326,25","327,46","323,46","5,07M","-0,97%"
"22.03.2021","327,24","325,49","327,98","325,04","3,81M","0,38%"
"21.03.2021","326,01","326,01","326,01","326,01","-","0,00%"
"19.03.2021","326,01","328,09","328,18","324,98","5,63M","-1,02%"
"18.03.2021","329,36","330,30","332,86","328,91","5,39M","-0,43%"
"17.03.2021","330,77","329,20","331,00","328,38","4,34M","0,58%"
"16.03.2021","328,86","329,86","330,00","328,33","3,27M","-0,37%"
"15.03.2021","330,09","329,20","330,22","326,83","4,47M","0,54%"
"14.03.2021","328,31","328,31","328,31","328,31","-","0,00%"
"12.03.2021","328,31","325,70","328,47","325,57","4,26M","0,92%"
"11.03.2021","325,33","324,72","326,97","323,83","5,75M","0,62%"
"10.03.2021","323,33","320,65","324,30","320,47","6,47M","1,48%"
"09.03.2021","318,61","319,53","321,74","318,60","5,83M","0,11%"
"08.03.2021","318,25","316,77","321,71","315,87","8,23M","0,95%"
"05.03.2021","315,24","312,50","316,05","307,90","7,02M","1,83%"
"04.03.2021","309,58","313,19","314,92","305,68","8,55M","-1,09%"
"03.03.2021","312,99","313,94","315,87","312,83","5,13M","-0,38%"
"02.03.2021","314,19","315,72","316,43","314,01","4,05M","-0,44%"
"01.03.2021","315,59","313,48","316,92","313,45","4,72M","1,98%"
"26.02.2021","309,45","314,42","314,44","308,78","7,93M","-1,44%"
"25.02.2021","313,98","319,71","319,92","312,96","7,54M","-1,74%"
"24.02.2021","319,53","314,68","320,04","314,18","4,29M","1,31%"
"23.02.2021","315,39","314,77","316,49","311,60","5,71M","0,06%"
"22.02.2021","315,21","312,90","316,49","312,77","2,72M","0,09%"
"19.02.2021","314,92","315,61","316,34","314,58","2,31M","-0,20%"
"18.02.2021","315,56","314,75","316,00","313,38","2,51M","-0,33%"
"17.02.2021","316,60","314,69","316,91","313,87","1,98M","0,32%"
"16.02.2021","315,58","316,33","316,54","314,87","1,64M","0,17%"
"12.02.2021","315,04","314,28","315,14","313,83","2,48M","0,11%"
"11.02.2021","314,68","315,09","315,76","312,80","1,93M","0,06%"
"10.02.2021","314,50","315,17","315,24","312,30","2,70M","0,18%"
"09.02.2021","313,92","313,26","314,50","312,57","1,78M","0,01%"
"08.02.2021","313,89","312,70","313,89","312,41","1,67M","0,75%"
"05.02.2021","311,54","312,36","312,55","310,87","1,96M","0,28%"
"04.02.2021","310,67","307,85","310,67","307,77","2,61M","1,11%"
"03.02.2021","307,26","306,10","307,94","305,18","2,07M","0,14%"
"02.02.2021","306,82","304,54","308,43","304,52","3,05M","1,59%"
"01.02.2021","302,02","302,28","303,35","300,14","3,07M","0,74%"
"29.01.2021","299,81","303,92","304,78","298,59","5,93M","-2,05%"
"28.01.2021","306,07","304,98","309,42","304,83","6,34M","0,93%"
"27.01.2021","303,26","306,54","306,72","302,10","5,66M","-1,98%"
"26.01.2021","309,39","310,54","311,19","309,21","2,16M","-0,08%"
"25.01.2021","309,65","308,99","309,78","305,62","4,53M","-0,10%"
"22.01.2021","309,97","309,86","311,02","309,09","2,05M","-0,61%"
"21.01.2021","311,87","312,01","312,71","311,20","1,92M","0,03%"
"20.01.2021","311,77","310,43","312,34","309,94","2,33M","0,79%"
"19.01.2021","309,32","310,36","310,74","308,60","2,76M","0,39%"
"15.01.2021","308,12","308,01","309,32","306,03","4,01M","-0,62%"
"14.01.2021","310,05","311,59","312,27","309,89","3,20M","-0,19%"
"13.01.2021","310,63","310,63","311,60","309,92","1,84M","-0,04%"
"12.01.2021","310,74","310,18","311,25","308,91","2,28M","0,18%"
"11.01.2021","310,17","308,49","311,00","308,42","2,77M","-0,28%"
"08.01.2021","311,04","311,25","311,43","307,99","3,23M","0,17%"
"07.01.2021","310,50","309,72","311,98","309,06","4,09M","0,74%"
"06.01.2021","308,21","303,75","310,24","303,06","7,26M","1,44%"
"05.01.2021","303,84","301,93","305,05","301,38","3,30M","0,50%"
"04.01.2021","302,32","306,59","306,66","298,74","5,09M","-1,13%"
"31.12.2020","305,79","304,00","306,29","303,35","2,80M","0,55%"
"30.12.2020","304,13","304,11","305,13","303,86","2,07M","0,22%"
"29.12.2020","303,46","305,43","305,70","302,64","2,24M","-0,18%"
"28.12.2020","304,00","303,69","305,15","303,35","2,36M","0,66%"
"24.12.2020","302,02","301,66","302,10","300,93","1,96M","0,25%"
"23.12.2020","301,28","301,20","302,79","301,14","2,70M","0,40%"
"22.12.2020","300,07","301,84","301,88","299,86","2,69M","-0,69%"
"21.12.2020","302,14","298,79","302,97","297,42","6,26M","0,08%"
"18.12.2020","301,90","303,07","303,14","300,23","4,44M","-0,52%"
"17.12.2020","303,49","303,22","303,71","302,85","2,98M","0,44%"
"16.12.2020","302,15","302,54","302,87","301,32","1,95M","-0,16%"
"15.12.2020","302,62","300,95","302,94","299,48","4,20M","1,18%"
"14.12.2020","299,10","303,02","303,80","299,00","3,52M","-0,61%"
"11.12.2020","300,93","299,43","301,18","298,68","2,45M","0,13%"
"10.12.2020","300,54","299,99","301,15","299,20","2,39M","-0,11%"
"09.12.2020","300,88","303,22","303,60","299,97","3,06M","-0,44%"
"08.12.2020","302,20","300,01","302,87","299,98","2,17M","0,37%"
"07.12.2020","301,10","301,77","302,16","300,00","2,57M","-0,49%"
"04.12.2020","302,59","300,74","302,59","300,60","2,75M","0,84%"
"03.12.2020","300,06","299,38","301,40","299,05","3,10M","0,29%"
"02.12.2020","299,18","297,10","299,34","296,35","2,46M","0,25%"
"01.12.2020","298,44","299,73","301,01","298,18","2,81M","0,61%"
"30.11.2020","296,62","297,52","297,80","294,75","3,98M","-0,88%"
"27.11.2020","299,24","299,44","300,20","298,17","1,52M","0,17%"
"25.11.2020","298,74","299,95","300,04","298,05","2,63M","-0,56%"
"24.11.2020","300,43","298,94","301,11","298,30","3,95M","1,53%"
"23.11.2020","295,89","294,26","296,65","293,48","2,80M","1,15%"
"20.11.2020","292,53","294,22","294,59","292,20","3,09M","-0,95%"
"19.11.2020","295,33","294,06","295,81","292,90","3,18M","0,19%"
"18.11.2020","294,76","299,20","299,75","294,76","3,53M","-1,19%"
"17.11.2020","298,31","297,31","299,15","295,60","4,03M","-0,56%"
"16.11.2020","299,98","299,28","300,08","297,57","4,46M","1,64%"
"13.11.2020","295,15","292,97","295,92","292,42","3,10M","1,41%"
"12.11.2020","291,05","292,22","293,32","289,19","4,33M","-1,04%"
"11.11.2020","294,11","296,07","296,14","292,93","2,88M","-0,14%"
"10.11.2020","294,51","293,30","294,96","291,40","4,32M","0,96%"
"09.11.2020","291,72","298,61","299,49","291,39","10,69M","3,00%"
"06.11.2020","283,22","283,95","284,38","281,89","3,08M","-0,24%"
"05.11.2020","283,91","282,29","284,96","282,07","4,26M","1,94%"
"04.11.2020","278,51","275,90","283,06","275,56","6,70M","1,41%"
"03.11.2020","274,65","272,66","276,43","272,20","4,19M","2,02%"
"02.11.2020","269,20","268,90","270,50","266,93","5,06M","1,56%"
"30.10.2020","265,06","265,03","266,32","261,41","5,28M","-0,57%"
"29.10.2020","266,59","265,13","268,94","262,81","5,42M","0,42%"
"28.10.2020","265,48","269,00","270,75","265,02","5,77M","-3,34%"
"27.10.2020","274,66","276,95","277,07","274,60","2,96M","-0,84%"
"26.10.2020","277,00","280,14","280,39","273,70","5,09M","-2,24%"
"23.10.2020","283,34","284,45","284,54","281,51","2,16M","-0,11%"
"22.10.2020","283,65","282,10","284,16","280,30","2,28M","0,60%"
"21.10.2020","281,97","282,54","284,47","281,83","2,87M","-0,35%"
"20.10.2020","282,95","283,16","285,66","282,25","3,25M","0,33%"
"19.10.2020","282,03","286,64","287,06","281,28","2,81M","-1,38%"
"16.10.2020","285,97","286,24","288,37","285,89","2,41M","0,33%"
"15.10.2020","285,04","281,84","285,40","281,84","3,13M","-0,03%"
"14.10.2020","285,13","287,23","287,95","284,58","2,27M","-0,56%"
"13.10.2020","286,74","287,65","288,06","286,06","2,43M","-0,60%"
"12.10.2020","288,46","287,02","289,61","286,73","2,53M","0,88%"
"11.10.2020","285,93","285,93","285,93","285,93","-","0,00%"
"09.10.2020","285,93","285,61","286,81","284,41","2,55M","0,58%"
"08.10.2020","284,29","284,52","284,68","282,70","2,15M","0,48%"
"07.10.2020","282,92","280,24","283,65","280,24","2,42M","1,87%"
"06.10.2020","277,72","282,54","283,52","277,24","4,36M","-1,35%"
"05.10.2020","281,51","278,82","281,58","278,75","1,86M","1,70%"
"04.10.2020","276,80","276,80","276,80","276,80","-","0,00%"
"03.10.2020","276,80","276,80","276,80","276,80","-","0,00%"
"02.10.2020","276,80","273,89","278,50","273,69","4,77M","-0,48%"
"01.10.2020","278,14","279,43","280,31","276,62","2,97M","0,23%"
"30.09.2020","277,50","275,05","280,12","275,05","4,03M","1,12%"
"29.09.2020","274,42","275,46","275,93","273,29","1,98M","-0,54%"
"28.09.2020","275,90","271,70","277,10","271,70","2,79M","1,55%"
"27.09.2020","271,70","271,70","271,70","271,70","-","0,00%"
"26.09.2020","271,70","271,70","271,70","271,70","-","0,00%"
"25.09.2020","271,70","266,86","272,31","266,23","3,61M","1,34%"
"24.09.2020","268,10","266,77","270,86","265,32","4,43M","0,19%"
"23.09.2020","267,58","274,15","274,57","267,08","3,58M","-1,92%"
"22.09.2020","272,81","271,58","273,22","269,80","3,17M","0,50%"
"21.09.2020","271,44","271,62","272,14","267,06","5,94M","-1,84%"
"18.09.2020","276,52","279,02","279,40","274,77","3,16M","-1,09%"
"17.09.2020","279,57","277,59","281,15","277,09","3,31M","-0,52%"
"16.09.2020","281,03","281,56","284,23","280,82","2,67M","0,16%"
"15.09.2020","280,58","282,51","282,88","279,89","2,33M","0,02%"
"14.09.2020","280,53","279,11","281,37","278,71","2,37M","1,24%"
"13.09.2020","277,09","277,09","277,09","277,09","-","0,00%"
"11.09.2020","277,09","276,95","278,82","274,96","2,79M","0,47%"
"10.09.2020","275,79","281,02","282,10","274,85","3,46M","-1,45%"
"09.09.2020","279,85","278,04","282,48","277,47","3,49M","1,61%"
"08.09.2020","275,42","278,51","278,69","275,03","4,78M","-2,25%"
"04.09.2020","281,77","284,91","285,79","277,01","7,15M","-0,55%"
"03.09.2020","283,34","291,15","292,31","281,15","6,12M","-2,70%"
"02.09.2020","291,21","288,03","292,04","287,62","3,46M","1,54%"
"01.09.2020","286,79","283,75","286,89","283,24","3,04M","0,88%"
"31.08.2020","284,28","286,20","286,31","283,93","4,07M","-0,84%"
"30.08.2020","286,70","286,70","286,70","286,70","-","0,00%"
"28.08.2020","286,70","286,23","287,45","285,00","2,72M","0,58%"
"27.08.2020","285,04","284,40","286,45","283,83","3,43M","0,57%"
"26.08.2020","283,43","282,58","283,60","281,60","2,65M","0,29%"
"25.08.2020","282,62","284,00","284,08","281,02","3,35M","-0,20%"
"24.08.2020","283,18","279,29","283,18","279,29","2,62M","1,39%"
"23.08.2020","279,29","279,29","279,29","279,29","-","0,00%"
"21.08.2020","279,29","277,04","279,61","276,86","2,60M","0,51%"
"20.08.2020","277,87","276,06","278,31","275,87","2,06M","0,16%"
"19.08.2020","277,43","278,70","279,70","277,05","3,37M","-0,28%"
"18.08.2020","278,20","279,11","279,36","277,15","1,68M","-0,27%"
"17.08.2020","278,95","280,22","280,25","278,52","2,44M","-0,30%"
"14.08.2020","279,80","278,23","280,16","277,90","2,25M","0,14%"
"13.08.2020","279,42","279,31","280,21","278,27","1,67M","-0,22%"
"12.08.2020","280,04","279,85","280,74","278,74","2,65M","1,03%"
"11.08.2020","277,19","280,99","281,77","276,47","4,55M","-0,34%"
"10.08.2020","278,14","274,62","278,26","274,62","2,31M","1,28%"
"09.08.2020","274,62","274,62","274,62","274,62","-","0,00%"
"08.08.2020","274,62","274,62","274,62","274,62","-","0,00%"
"07.08.2020","274,62","273,21","274,80","272,49","2,31M","0,26%"
"06.08.2020","273,90","271,63","274,00","271,58","1,95M","0,70%"
"05.08.2020","272,00","269,98","272,26","269,91","2,13M","1,34%"
"04.08.2020","268,41","266,72","268,41","266,06","1,91M","0,63%"
"03.08.2020","266,72","265,74","267,11","265,40","2,57M","0,90%"
"02.08.2020","264,35","264,35","264,35","264,35","-","0,00%"
"31.07.2020","264,35","263,76","264,49","260,18","3,32M","0,41%"
"30.07.2020","263,28","262,52","263,82","259,95","3,06M","-0,84%"
"29.07.2020","265,50","264,19","266,07","263,80","1,92M","0,59%"
"28.07.2020","263,93","265,95","265,95","263,64","1,99M","-0,76%"
"27.07.2020","265,95","264,52","266,29","264,36","2,64M","0,48%"
"26.07.2020","264,69","264,69","264,69","264,69","-","0,00%"
"25.07.2020","264,69","264,69","264,69","264,69","-","0,00%"
"24.07.2020","264,69","264,96","266,28","264,07","2,64M","-0,75%"
"23.07.2020","266,69","269,62","269,75","265,63","2,84M","-1,22%"
"22.07.2020","269,98","268,34","270,32","267,81","2,04M","0,61%"
"21.07.2020","268,34","268,76","270,26","267,65","3,18M","0,57%"
"20.07.2020","266,82","266,55","267,63","265,08","4,02M","0,03%"
"17.07.2020","266,74","267,95","268,07","266,17","3,42M","-0,27%"
"16.07.2020","267,47","267,12","268,89","266,13","2,48M","-0,54%"
"15.07.2020","268,91","270,42","270,51","267,05","5,22M","0,87%"
"14.07.2020","266,59","260,70","267,05","260,13","7,61M","2,13%"
"13.07.2020","261,04","263,13","266,51","260,62","4,88M","0,08%"
"12.07.2020","260,82","260,82","260,82","260,82","-","0,00%"
"11.07.2020","260,82","260,82","260,82","260,82","-","0,00%"
"10.07.2020","260,82","257,23","261,14","256,46","3,11M","1,39%"
"09.07.2020","257,24","260,92","261,19","255,41","4,00M","-1,33%"
"08.07.2020","260,72","259,65","261,19","258,28","2,84M","0,65%"
"07.07.2020","259,04","261,10","261,85","258,78","2,83M","-1,51%"
"06.07.2020","263,00","262,14","263,06","260,93","2,99M","1,77%"
"05.07.2020","258,42","258,42","258,42","258,42","-","0,00%"
"04.07.2020","258,42","258,42","258,42","258,42","-","0,00%"
"02.07.2020","258,42","261,17","262,16","257,90","3,83M","0,43%"
"01.07.2020","257,31","258,80","260,23","257,15","3,58M","-0,22%"
"30.06.2020","257,87","255,07","259,00","254,75","3,67M","0,77%"
"29.06.2020","255,91","252,15","255,97","251,00","3,76M","2,21%"
"26.06.2020","250,38","255,65","256,05","249,70","5,33M","-2,74%"
"25.06.2020","257,44","253,31","257,66","252,14","4,31M","1,10%"
