"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2021","62,81","61,40","64,77","59,83","-","-2,09%"
"29.06.2021","64,15","62,78","65,55","61,74","15,93K","2,95%"
"28.06.2021","62,31","59,60","62,62","59,31","20,81K","9,28%"
"27.06.2021","57,02","57,02","57,02","57,02","-","-4,51%"
"25.06.2021","59,71","62,99","63,98","59,20","36,72K","-4,77%"
"24.06.2021","62,70","61,86","62,85","60,31","23,52K","0,92%"
"23.06.2021","62,13","60,67","62,93","60,48","27,96K","2,41%"
"22.06.2021","60,67","60,53","62,05","59,50","34,84K","0,56%"
"21.06.2021","60,33","57,50","60,67","56,74","32,17K","4,85%"
"20.06.2021","57,54","58,49","58,49","57,54","-","-1,00%"
"18.06.2021","58,12","56,15","58,98","55,49","56,96K","2,74%"
"17.06.2021","56,57","62,00","62,20","56,57","68,65K","-8,86%"
"16.06.2021","62,07","65,77","66,09","62,07","63,01K","-5,34%"
"15.06.2021","65,57","66,33","67,38","65,19","48,23K","-0,59%"
"14.06.2021","65,96","66,40","66,97","63,50","69,00K","-0,23%"
"13.06.2021","66,11","66,86","66,86","66,11","-","-1,30%"
"11.06.2021","66,98","70,30","70,60","66,96","78,21K","-4,94%"
"10.06.2021","70,46","71,59","72,74","70,16","68,64K","-1,58%"
"09.06.2021","71,59","72,48","72,49","70,43","59,93K","-0,68%"
"08.06.2021","72,08","71,34","72,78","70,22","66,52K","1,76%"
"07.06.2021","70,83","71,97","73,74","70,50","77,65K","-2,37%"
"06.06.2021","72,55","71,53","72,55","71,53","-","1,70%"
"04.06.2021","71,34","69,10","71,84","68,73","47,74K","3,62%"
"03.06.2021","68,85","70,78","72,13","68,72","71,51K","-2,17%"
"02.06.2021","70,38","67,44","70,89","67,24","63,26K","4,44%"
"01.06.2021","67,39","66,13","68,19","65,85","45,01K","1,57%"
"31.05.2021","66,35","66,35","66,35","66,35","-","0,82%"
"30.05.2021","65,81","65,81","65,81","65,81","-","0,03%"
"28.05.2021","65,79","66,81","67,39","65,71","40,88K","-1,53%"
"27.05.2021","66,81","65,76","66,89","65,22","42,60K","1,72%"
"26.05.2021","65,68","66,80","67,25","65,42","47,90K","-1,51%"
"25.05.2021","66,69","65,34","67,26","65,30","43,53K","2,40%"
"24.05.2021","65,13","65,42","66,23","64,23","38,23K","-0,26%"
"23.05.2021","65,30","65,30","65,30","65,30","-","-0,29%"
"21.05.2021","65,49","65,76","66,34","64,64","39,44K","-0,41%"
"20.05.2021","65,76","66,64","67,39","64,28","52,02K","-1,07%"
"19.05.2021","66,47","68,68","68,75","65,38","58,99K","-3,20%"
"18.05.2021","68,67","68,80","70,49","67,92","54,27K","-0,43%"
"17.05.2021","68,97","67,64","69,99","67,05","54,46K","1,97%"
"16.05.2021","67,64","67,82","67,89","67,64","-","-1,13%"
"14.05.2021","68,41","65,83","67,90","65,44","-","0,54%"
"13.05.2021","68,04","70,85","71,91","70,85","0,08K","-0,90%"
"12.05.2021","68,66","70,24","72,32","70,24","0,03K","2,39%"
"11.05.2021","67,06","67,55","67,68","67,55","0,05K","1,45%"
"10.05.2021","66,10","66,81","66,81","66,20","0,06K","3,09%"
"09.05.2021","64,12","64,12","64,12","64,12","-","-3,40%"
"07.05.2021","66,38","67,33","67,69","67,33","0,01K","0,20%"
"06.05.2021","66,25","66,95","66,95","66,24","0,05K","-0,73%"
"05.05.2021","66,74","67,94","68,08","66,50","0,12K","-1,78%"
"04.05.2021","67,95","68,50","69,40","67,78","0,12K","-0,53%"
"03.05.2021","68,31","71,54","71,59","66,35","0,09K","8,76%"
"02.05.2021","62,81","62,45","62,84","62,45","-","-8,25%"
"30.04.2021","68,46","66,74","67,80","65,48","1,57K","3,74%"
"29.04.2021","65,99","69,21","70,86","65,83","6,24K","-4,29%"
"28.04.2021","68,95","66,29","68,95","64,34","20,64K","3,76%"
"27.04.2021","66,45","65,92","67,71","65,49","30,87K","1,90%"
"26.04.2021","65,21","63,12","65,21","62,65","25,65K","10,21%"
"25.04.2021","59,17","59,17","59,17","59,17","-","-5,65%"
"23.04.2021","62,71","62,97","63,50","61,78","32,80K","0,30%"
"22.04.2021","62,52","60,27","62,69","60,22","36,60K","3,87%"
"21.04.2021","60,19","58,55","60,38","58,25","32,10K","3,21%"
"20.04.2021","58,32","56,27","58,77","56,22","43,98K","3,64%"
"19.04.2021","56,27","56,65","56,73","55,88","22,45K","-0,58%"
"18.04.2021","56,60","56,58","56,60","56,58","-","0,48%"
"16.04.2021","56,33","54,95","56,48","54,86","31,21K","2,62%"
"15.04.2021","54,89","54,35","55,09","54,11","30,39K","1,20%"
"14.04.2021","54,24","53,03","54,58","52,99","48,59K","2,28%"
"13.04.2021","53,03","51,45","53,45","51,45","48,02K","3,07%"
"12.04.2021","51,45","52,71","52,80","50,96","58,80K","-2,43%"
"11.04.2021","52,73","52,70","52,82","52,70","-","-0,23%"
"09.04.2021","52,85","53,68","54,14","52,70","48,31K","-0,99%"
"08.04.2021","53,38","52,85","53,74","52,58","47,81K","1,00%"
"07.04.2021","52,85","54,19","54,44","52,40","45,40K","-1,98%"
"06.04.2021","53,92","52,93","54,63","52,83","43,54K","2,10%"
"05.04.2021","52,81","52,55","53,15","52,34","32,35K","0,28%"
"04.04.2021","52,66","52,66","52,66","52,66","-","1,02%"
"01.04.2021","52,13","52,92","53,29","51,73","42,44K","-1,49%"
"31.03.2021","52,92","50,49","52,96","50,22","60,31K","4,88%"
"30.03.2021","50,46","52,96","53,19","50,46","48,33K","-4,72%"
"29.03.2021","52,96","52,44","54,03","52,00","67,48K","1,05%"
"28.03.2021","52,41","52,44","52,44","52,41","-","-0,13%"
"26.03.2021","52,48","54,55","55,45","52,48","75,53K","-4,55%"
"25.03.2021","54,98","57,48","57,51","54,98","69,38K","-4,35%"
"24.03.2021","57,48","57,00","57,85","56,50","46,78K","0,81%"
"23.03.2021","57,02","57,56","58,25","56,45","79,75K","1,15%"
"22.03.2021","56,37","53,90","56,37","53,26","66,92K","4,70%"
"21.03.2021","53,84","53,81","53,98","53,81","-","-0,06%"
"19.03.2021","53,87","53,21","54,11","52,97","53,70K","0,65%"
"18.03.2021","53,52","54,74","54,81","53,15","69,26K","-1,98%"
"17.03.2021","54,60","55,20","55,67","54,27","50,94K","-0,89%"
"16.03.2021","55,09","55,17","55,59","54,24","55,51K","0,00%"
"15.03.2021","55,09","55,36","55,75","55,00","51,50K","-0,45%"
"14.03.2021","55,34","55,34","55,34","55,34","-","-2,72%"
"12.03.2021","56,89","54,79","55,59","53,95","-","0,76%"
"11.03.2021","56,46","56,08","56,87","56,05","0,02K","1,99%"
"10.03.2021","55,36","54,92","55,42","54,50","0,05K","0,38%"
"09.03.2021","55,15","54,86","54,86","54,86","0,04K","2,02%"
"08.03.2021","54,06","54,22","54,40","53,94","0,08K","1,27%"
"05.03.2021","53,38","52,57","53,59","52,57","0,02K","1,91%"
"04.03.2021","52,38","52,11","53,25","52,07","0,27K","2,01%"
"03.03.2021","51,35","51,53","51,53","50,94","0,21K","0,16%"
"02.03.2021","51,27","50,35","51,40","50,35","0,64K","0,98%"
"01.03.2021","50,77","51,75","51,75","50,59","0,59K","-1,11%"
"26.02.2021","51,34","50,70","51,50","50,00","2,59K","0,75%"
"25.02.2021","50,96","51,14","52,13","50,26","14,71K","-0,35%"
"24.02.2021","51,14","49,29","51,54","49,02","31,34K","3,82%"
"23.02.2021","49,26","48,00","49,53","47,71","35,39K","2,84%"
"22.02.2021","47,90","47,86","48,09","47,31","33,84K","2,02%"
"21.02.2021","46,95","47,05","47,05","46,95","-","-1,26%"
"19.02.2021","47,55","46,91","47,85","46,56","44,39K","1,36%"
"18.02.2021","46,91","46,84","47,18","46,36","48,37K","0,30%"
"17.02.2021","46,77","47,33","47,64","46,55","49,95K","-1,06%"
"16.02.2021","47,27","46,59","47,56","46,58","54,51K","2,23%"
"15.02.2021","46,24","46,20","46,26","46,20","-","0,00%"
"14.02.2021","46,24","46,24","46,24","46,24","-","0,43%"
"12.02.2021","46,04","45,63","46,24","45,58","40,46K","0,90%"
"11.02.2021","45,63","45,69","46,28","45,10","61,88K","-0,13%"
"10.02.2021","45,69","46,58","46,66","45,51","69,33K","-1,78%"
"09.02.2021","46,52","45,67","46,67","45,60","75,31K","1,95%"
"08.02.2021","45,63","44,89","45,77","44,66","64,60K","2,17%"
"05.02.2021","44,66","44,83","45,18","44,54","56,29K","-0,62%"
"04.02.2021","44,94","44,48","45,22","44,19","45,98K","1,03%"
"03.02.2021","44,48","44,40","44,57","43,33","55,33K","0,36%"
"02.02.2021","44,32","45,40","45,47","44,23","51,94K","-1,45%"
"01.02.2021","44,97","44,75","45,38","44,13","58,45K","0,78%"
"29.01.2021","44,62","44,76","45,58","44,23","70,63K","-0,07%"
"28.01.2021","44,65","44,57","45,33","44,01","70,06K","0,29%"
"27.01.2021","44,52","44,07","45,43","44,06","66,29K","1,39%"
"26.01.2021","43,91","43,09","44,23","42,65","55,18K","2,26%"
"25.01.2021","42,94","42,15","43,68","41,92","67,11K","1,75%"
"24.01.2021","42,20","42,20","42,20","42,20","-","-0,17%"
"22.01.2021","42,27","43,30","43,46","42,08","66,91K","-2,67%"
"21.01.2021","43,43","42,52","43,53","42,32","55,11K","2,09%"
"20.01.2021","42,54","41,72","42,67","41,03","65,62K","2,01%"
"19.01.2021","41,70","41,99","42,31","41,01","67,08K","-1,21%"
"17.01.2021","42,21","42,17","42,23","42,17","-","0,86%"
"15.01.2021","41,85","43,17","43,32","41,48","79,73K","-3,28%"
"14.01.2021","43,27","42,19","43,22","41,30","0,03K","1,38%"
"13.01.2021","42,68","43,62","44,02","42,93","0,20K","-1,04%"
"12.01.2021","43,13","43,26","43,27","43,01","0,05K","0,00%"
