"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"09.04.2021","3.658,00","3.629,05","3.662,50","3.629,05","0,84%"
"08.04.2021","3.627,55","3.654,59","3.656,89","3.626,03","-0,70%"
"07.04.2021","3.653,09","3.636,50","3.662,50","3.616,70","0,49%"
"06.04.2021","3.635,25","3.674,00","3.674,13","3.632,00","-1,02%"
"05.04.2021","3.672,75","3.661,70","3.676,08","3.631,29","0,51%"
"02.04.2021","3.654,20","3.661,70","3.662,06","3.653,71","0,00%"
"01.04.2021","3.654,20","3.661,70","3.665,35","3.652,63","-0,13%"
"31.03.2021","3.658,95","3.730,00","3.730,38","3.659,50","-1,83%"
"30.03.2021","3.727,25","3.718,99","3.755,00","3.713,65","0,30%"
"29.03.2021","3.716,24","3.689,89","3.719,50","3.689,89","0,79%"
"26.03.2021","3.687,14","3.668,00","3.690,60","3.640,00","0,60%"
"25.03.2021","3.665,25","3.649,40","3.669,49","3.645,10","0,51%"
"24.03.2021","3.646,65","3.619,50","3.650,50","3.608,49","0,83%"
"23.03.2021","3.616,75","3.559,40","3.620,40","3.553,94","1,67%"
"22.03.2021","3.557,40","3.558,90","3.570,00","3.554,65","0,01%"
"19.03.2021","3.556,90","3.547,10","3.568,30","3.538,03","0,33%"
"18.03.2021","3.545,10","3.571,00","3.595,00","3.538,55","-0,68%"
"17.03.2021","3.569,25","3.559,50","3.583,51","3.557,98","0,32%"
"16.03.2021","3.557,75","3.559,00","3.567,77","3.540,26","0,11%"
"15.03.2021","3.554,00","3.576,00","3.591,25","3.556,14","-0,55%"
"12.03.2021","3.573,50","3.556,00","3.589,88","3.548,57","0,56%"
"11.03.2021","3.553,50","3.552,75","3.557,06","3.515,68","0,07%"
"10.03.2021","3.551,00","3.592,50","3.594,26","3.545,38","-1,11%"
"09.03.2021","3.590,75","3.604,70","3.611,93","3.587,20","-0,34%"
"08.03.2021","3.602,95","3.635,15","3.661,85","3.600,88","-0,84%"
