Fecha,cierre,apertura,max,min,vol,var
2021-04-15,54.48,54.38,54.77,54.12,NA,0.44
2021-04-14,54.24,53.03,54.58,52.99,48.59,2.28
2021-04-13,53.03,51.45,53.45,51.45,48.02,3.07
2021-04-12,51.45,52.71,52.8,50.96,58.8,-2.43
2021-04-11,52.73,52.7,52.82,52.7,NA,-0.23
2021-04-09,52.85,53.68,54.14,52.7,48.31,-0.99
2021-04-08,53.38,52.85,53.74,52.58,47.81,1
2021-04-07,52.85,54.19,54.44,52.4,45.4,-1.98
2021-04-06,53.92,52.93,54.63,52.83,43.54,2.1
2021-04-05,52.81,52.55,53.15,52.34,32.35,0.28
2021-04-04,52.66,52.66,52.66,52.66,NA,1.02
2021-04-01,52.13,52.92,53.29,51.73,42.44,-1.49
2021-03-31,52.92,50.49,52.96,50.22,60.31,4.88
2021-03-30,50.46,52.96,53.19,50.46,48.33,-4.72
2021-03-29,52.96,52.44,54.03,52,67.48,1.05
2021-03-28,52.41,52.44,52.44,52.41,NA,-0.13
2021-03-26,52.48,54.55,55.45,52.48,75.53,-4.55
2021-03-25,54.98,57.48,57.51,54.98,69.38,-4.35
2021-03-24,57.48,57,57.85,56.5,46.78,0.81
2021-03-23,57.02,57.56,58.25,56.45,79.75,1.15
2021-03-22,56.37,53.9,56.37,53.26,66.92,4.7
2021-03-21,53.84,53.81,53.98,53.81,NA,-0.06
2021-03-19,53.87,53.21,54.11,52.97,53.7,0.65
2021-03-18,53.52,54.74,54.81,53.15,69.26,-1.98
2021-03-17,54.6,55.2,55.67,54.27,50.94,-0.89
2021-03-16,55.09,55.17,55.59,54.24,55.51,0
2021-03-15,55.09,55.36,55.75,55,51.5,-0.45
2021-04-14,54.32,53.12,54.58,53,NA,2.43
2021-03-14,55.34,55.34,55.34,55.34,NA,-2.72
2021-03-12,56.89,54.79,55.59,53.95,NA,0.76
2021-03-11,56.46,56.08,56.87,56.05,0.02,1.99
2021-03-10,55.36,54.92,55.42,54.5,0.05,0.38
2021-03-09,55.15,54.86,54.86,54.86,0.04,2.02
2021-03-08,54.06,54.22,54.4,53.94,0.08,1.27
2021-03-05,53.38,52.57,53.59,52.57,0.02,1.91
2021-03-04,52.38,52.11,53.25,52.07,0.27,2.01
2021-03-03,51.35,51.53,51.53,50.94,0.21,0.16
2021-03-02,51.27,50.35,51.4,50.35,0.64,0.98
2021-03-01,50.77,51.75,51.75,50.59,0.59,-1.11
2021-02-26,51.34,50.7,51.5,50,2.59,0.75
2021-02-25,50.96,51.14,52.13,50.26,14.71,-0.35
2021-02-24,51.14,49.29,51.54,49.02,31.34,3.82
2021-02-23,49.26,48,49.53,47.71,35.39,2.84
2021-02-22,47.9,47.86,48.09,47.31,33.84,2.02
2021-02-21,46.95,47.05,47.05,46.95,NA,-1.26
2021-02-19,47.55,46.91,47.85,46.56,44.39,1.36
2021-02-18,46.91,46.84,47.18,46.36,48.37,0.3
2021-02-17,46.77,47.33,47.64,46.55,49.95,-1.06
2021-02-16,47.27,46.59,47.56,46.58,54.51,2.23
2021-02-15,46.24,46.2,46.26,46.2,NA,0
2021-02-14,46.24,46.24,46.24,46.24,NA,0.43
2021-02-12,46.04,45.63,46.24,45.58,40.46,0.9
2021-02-11,45.63,45.69,46.28,45.1,61.88,-0.13
2021-02-10,45.69,46.58,46.66,45.51,69.33,-1.78
2021-02-09,46.52,45.67,46.67,45.6,75.31,1.95
2021-02-08,45.63,44.89,45.77,44.66,64.6,2.17
2021-02-05,44.66,44.83,45.18,44.54,56.29,-0.62
2021-02-04,44.94,44.48,45.22,44.19,45.98,1.03
2021-02-03,44.48,44.4,44.57,43.33,55.33,0.36
2021-02-02,44.32,45.4,45.47,44.23,51.94,-1.45
2021-02-01,44.97,44.75,45.38,44.13,58.45,0.78
2021-01-29,44.62,44.76,45.58,44.23,70.63,-0.07
2021-01-28,44.65,44.57,45.33,44.01,70.06,0.29
2021-01-27,44.52,44.07,45.43,44.06,66.29,1.39
2021-01-26,43.91,43.09,44.23,42.65,55.18,2.26
2021-01-25,42.94,42.15,43.68,41.92,67.11,1.75
2021-01-24,42.2,42.2,42.2,42.2,NA,-0.17
2021-01-22,42.27,43.3,43.46,42.08,66.91,-2.67
2021-01-21,43.43,42.52,43.53,42.32,55.11,2.09
2021-01-20,42.54,41.72,42.67,41.03,65.62,2.01
2021-01-19,41.7,41.99,42.31,41.01,67.08,-1.21
2021-01-17,42.21,42.17,42.23,42.17,NA,0.86
2021-01-15,41.85,43.17,43.32,41.48,79.73,-3.28
2021-01-14,43.27,42.19,43.22,41.3,0.03,1.38
2021-01-13,42.68,43.62,44.02,42.93,0.2,-1.04
2021-01-12,43.13,43.26,43.27,43.01,0.05,0
2021-01-11,43.13,43.9,43.97,42.93,0.15,-1.42
2021-01-10,43.75,43.72,43.75,43.72,NA,-0.02
2021-01-08,43.76,44.6,44.67,43.89,0.21,-1.33
2021-01-07,44.35,44.5,44.55,43.65,0.35,-0.09
2021-01-06,44.39,44.87,45.27,44.38,0.52,0.07
2021-01-05,44.36,43.3,44.64,43.1,0.55,3.33
2021-01-04,42.93,43.63,44.36,42.5,0.95,1.13
2021-01-03,42.45,42.53,42.53,42.41,NA,0.02
2021-01-01,42.44,42.44,42.44,42.44,NA,-2.05
2020-12-31,43.33,42.7,43.55,42.61,1.09,1.55
2020-12-30,42.67,42.55,42.78,41.97,8.5,0.45
2020-12-29,42.48,41.72,42.68,41.32,13.9,1.82
2020-12-28,41.72,42.06,42.06,41.26,16.6,0.77
2020-12-27,41.4,41.4,41.4,41.4,NA,-1.05
2020-12-24,41.84,41.35,42.01,41.34,10.92,1.19
2020-12-23,41.35,40.65,41.83,40.43,31.15,1.97
2020-12-22,40.55,39.96,40.75,39.64,39.85,1.48
2020-12-21,39.96,40.07,40.21,39.07,44.33,0.53
2020-12-20,39.75,39.68,39.75,39.68,NA,-0.8
2020-12-18,40.07,39.93,40.28,39.69,49.8,0.35
2020-12-17,39.93,39.05,39.96,38.92,65.16,2.25
2020-12-16,39.05,39.27,39.35,38.83,48.89,-0.36
2020-12-15,39.19,38.81,39.27,38.27,57.66,-2.29
2020-12-14,40.11,40.1,40.11,40.1,0,1.34
2020-12-11,39.58,39.25,39.79,39.25,0.14,1.59
2020-12-10,38.96,39.33,39.34,39,0.02,0.52
2020-12-09,38.76,38.56,38.77,38.4,0.02,1.25
2020-12-08,38.28,38.75,38.75,38.2,0.08,-1.52
2020-12-07,38.87,39.19,39.19,38.73,0.13,1.01
2020-12-06,38.48,38.44,38.48,38.44,NA,-1.81
2020-12-04,39.19,38.61,39.3,38.6,0.19,1.32
2020-12-03,38.68,37.81,38.72,37.81,0.62,3.23
2020-12-02,37.47,37.4,37.53,36.83,1.36,0.19
2020-12-01,37.4,38.01,38.33,37.4,0.39,-1.27
2020-11-30,37.88,38.91,39,37.69,1.55,-2.12
2020-11-27,38.7,38.4,38.99,38.35,7.96,1.36
2020-11-25,38.18,38.38,38.68,38.05,24.73,0.32
2020-11-24,38.06,38.66,38.67,37.59,34.1,-1.27
2020-11-23,38.55,39.16,39.2,38.44,38.8,-0.28
2020-11-20,38.66,38.96,39.32,38.3,46.48,-0.39
2020-11-19,38.81,38.45,38.96,37.99,57.22,0.91
2020-11-18,38.46,37.53,38.74,37.43,57.53,2.56
2020-11-17,37.5,37.46,37.93,37.29,50.12,0.19
2020-11-16,37.43,37.17,37.58,36.77,51.3,0.84
2020-11-15,37.12,37.12,37.12,37.12,NA,-0.03
2020-11-13,37.13,37,37.5,36.6,49.46,0.22
2020-11-12,37.05,37.14,37.24,36.67,66.01,-0.22
2020-11-11,37.13,36.13,37.32,36.07,79.65,2.97
2020-11-10,36.06,35.56,36.1,35.19,90.77,1.63
2020-11-09,35.48,35.49,36.15,35.16,71.07,0
2020-11-08,35.48,35.45,35.48,35.43,NA,0.4
2020-11-06,35.34,35.47,35.79,35.09,56.97,-0.37
2020-11-05,35.47,34.4,35.72,34.36,72.61,3.14
2020-11-04,34.39,33.7,34.48,33.34,64.09,1.81
2020-11-03,33.78,33.19,33.97,33.18,55.43,1.78
2020-11-02,33.19,33.48,33.61,33.02,58.87,-1.07
2020-11-01,33.55,33.7,33.7,33.55,NA,-0.18
2020-10-30,33.61,33.07,33.7,32.92,69.85,1.66
2020-10-29,33.06,33.42,33.56,32.86,66.82,-1.08
2020-10-28,33.42,34.11,34.11,33.2,81.02,-2.02
2020-10-27,34.11,34.36,34.7,34.03,58.34,-1.02
2020-10-26,34.46,34.16,34.82,34.01,74.67,0.91
2020-10-25,34.15,34.15,34.15,34.15,NA,0.12
2020-10-23,34.11,33.89,34.2,33.46,62.1,1.25
2020-10-22,33.69,33.2,33.86,32.66,76.32,1.48
2020-10-21,33.2,33.45,33.83,33.11,55.43,-0.33
2020-10-20,33.31,32.52,33.43,32.31,60.39,2.4
2020-10-19,32.53,33.04,33.12,32.28,53.62,-1.33
2020-10-18,32.97,32.97,32.97,32.97,NA,-0.06
2020-10-16,32.99,33.17,33.65,32.9,57.7,-0.54
2020-10-15,33.17,33.89,34.09,32.82,64.25,-1.63
2020-10-14,33.72,33.58,34.16,33.4,0,0
2020-10-13,33.72,33.28,34.32,33.25,0.11,1.75
2020-10-12,33.14,34.02,34.02,33.28,0.04,-2.96
2020-10-11,34.15,34.34,34.34,34.15,NA,0
2020-10-09,34.15,34.24,34.24,34.24,0.02,2.74
2020-10-08,33.24,33.3,33.3,33.26,0.04,-0.21
2020-10-07,33.31,33.12,33.62,33.1,0.08,0.06
2020-10-06,33.29,33.4,33.45,33.22,0.14,1.46
2020-10-05,32.81,32.1,32.8,32.1,0.08,3.8
2020-10-04,31.61,31.61,31.61,31.61,NA,-1.03
2020-10-02,31.94,32.7,32.7,31.81,0.16,-2.17
2020-10-01,32.65,33.45,33.49,32.51,0.22,-2.16
2020-09-30,33.37,32.87,33.52,32.45,1.5,1.52
2020-09-29,32.87,33.23,33.34,32.5,7.08,-1.26
2020-09-28,33.29,32.77,33.34,32.56,12.08,1.56
2020-09-27,32.78,32.78,32.78,32.78,NA,-0.18
2020-09-25,32.84,32.41,33.05,32.22,15.63,1.48
2020-09-24,32.36,32.7,32.7,32.02,12.78,-1.01
2020-09-23,32.69,33.74,33.79,32.66,19.49,-2.91
2020-09-22,33.67,34.3,34.5,33.57,16.36,-1.75
2020-09-21,34.27,35.17,35.45,34.24,10.91,-2.36
2020-09-20,35.1,35.15,35.15,35.1,NA,-0.37
2020-09-18,35.23,34.91,35.51,34.68,16.06,0.92
2020-09-17,34.91,34.94,35.2,34.71,12.91,-0.09
2020-09-16,34.94,34.11,35.09,33.91,19.62,2.52
2020-09-15,34.08,34.34,34.63,33.96,9.8,-0.58
2020-09-14,34.28,33.56,34.56,33.51,0.06,1.51
2020-09-13,33.77,33.77,33.77,33.77,NA,0.09
2020-09-11,33.74,33.33,33.36,33.3,0.11,1.84
2020-09-10,33.13,33.18,33.2,33.18,0.32,-0.24
2020-09-09,33.21,33.28,33.29,33.28,0.06,-1.07
2020-09-08,33.57,33.08,33.56,33.08,0.11,1.48
2020-09-04,33.08,33.43,33.5,33.05,0.11,-1.17
2020-09-03,33.47,33.97,34.03,33.29,0.56,-0.59
2020-09-02,33.67,33.1,33.65,33.03,0.21,1.66
2020-09-01,33.12,33,33.35,33,0.94,0.49
2020-08-31,32.96,33.63,34.22,32.96,2.32,-1.08
2020-08-30,33.32,33.32,33.32,33.32,NA,-0.21
2020-08-28,33.39,33.42,33.72,32.76,13.03,0.24
2020-08-27,33.31,32.27,33.62,32.2,27.12,3.32
2020-08-26,32.24,31.99,32.45,31.98,18.99,0.81
2020-08-25,31.98,31.66,32.13,31.51,16.47,1.01
2020-08-24,31.66,31.45,31.81,31.29,16.24,-0.16
2020-08-23,31.71,31.67,31.71,31.67,NA,0.96
2020-08-21,31.41,31.2,31.45,31.08,10.56,0.35
2020-08-20,31.3,31.67,31.7,31.17,12.28,-1.17
2020-08-19,31.67,31.56,31.9,31.46,12.28,0.28
2020-08-18,31.58,31.22,31.63,31.16,14.67,0.89
2020-08-17,31.3,31.11,31.58,31.1,17.6,0.38
2020-08-16,31.18,31.16,31.23,31.16,NA,-1.11
2020-08-14,31.53,31.11,31.3,30.93,NA,-0.22
2020-08-13,31.6,31.75,31.92,31.75,0.01,-1.25
2020-08-12,32,31.62,31.62,31.62,0,3.03
2020-08-11,31.06,31.19,31.19,31.09,0.02,-0.42
2020-08-10,31.19,31.27,31.36,31.27,0.03,1.43
2020-08-09,30.75,30.78,30.78,30.75,NA,-1.91
2020-08-07,31.35,31.03,31.46,31.03,0.11,-0.54
2020-08-06,31.52,31.49,31.86,31.46,0.11,-0.57
2020-08-05,31.7,31.7,31.7,31.37,0.26,0.54
2020-08-04,31.53,31.67,31.67,31.38,0.31,-0.44
2020-08-03,31.67,30.9,31.74,30.9,1.09,2.46
2020-08-02,30.91,30.91,30.91,30.91,NA,0
2020-07-31,30.91,30.26,30.94,30.21,1.72,3.1
2020-07-30,29.98,29.82,30.23,29.59,8.04,1.04
2020-07-29,29.67,29.4,29.78,29.31,32.54,0.85
2020-07-28,29.42,29.47,29.5,29.04,29.7,-0.61
2020-07-27,29.6,29.69,29.95,29.36,30.93,-0.27
2020-07-26,29.68,29.68,29.68,29.68,NA,-0.4
2020-07-24,29.8,29.76,30.06,29.58,24.34,0.03
2020-07-23,29.79,29.93,30.2,29.62,15.49,-0.47
2020-07-22,29.93,29.91,30.44,29.6,22.91,-0.47
2020-07-21,30.07,29.86,30.21,29.75,23.79,0.47
2020-07-20,29.93,30.1,30.44,29.81,25.86,-0.43
2020-07-19,30.06,29.96,30.06,29.96,NA,0.47
2020-07-17,29.92,29.27,30,29.26,34.21,2.22
2020-07-16,29.27,28.8,29.4,28.75,29.02,1.63
2020-07-15,28.8,28.46,28.83,28.46,34.51,1.12
2020-07-14,28.48,28.09,28.61,27.78,0.25,1.82
2020-07-13,27.97,27.88,27.88,27.76,0.06,-0.43
2020-07-12,28.09,28.23,28.26,28.09,NA,-0.07
2020-07-10,28.11,28.18,28.52,28.03,0,-0.28
2020-07-09,28.19,28.57,28.77,28.23,0.1,-0.95
2020-07-08,28.46,28.78,28.82,28.46,0.41,-1.04
2020-07-07,28.76,28.27,28.8,28.27,0.15,1.2
2020-07-06,28.42,28.07,28.52,28.07,0.24,0.92
2020-07-05,28.16,28.07,28.16,28.07,NA,0.72
2020-07-02,27.96,28.21,28.45,27.91,0.95,-0.89
2020-07-01,28.21,27.89,28.25,27.89,1.26,0.82
2020-06-30,27.98,27.62,28.31,27.4,3.33,1.3
2020-06-29,27.62,27.21,27.72,26.89,33.07,1.54
2020-06-28,27.2,27.22,27.22,27.2,NA,0
2020-06-26,27.2,27.56,27.8,27.11,52.88,-1.23
2020-06-25,27.54,27.64,27.67,27.36,51.36,-0.4
2020-06-24,27.65,28.19,28.28,27.62,45.78,-1.85
2020-06-23,28.17,28.35,28.42,27.89,52.51,-0.63
2020-06-22,28.35,28.52,28.63,28.31,32.82,-0.6
2020-06-19,28.52,28.14,28.68,28.01,56.98,1.64
2020-06-18,28.06,28.06,28.2,27.81,45.22,-0.14
2020-06-17,28.1,27.96,28.27,27.75,50.63,0.39
2020-06-16,27.99,27.8,28.28,27.76,67.21,0.9
2020-06-15,27.74,27.4,27.77,27.01,57.07,1.13
2020-06-14,27.43,27.52,27.52,27.41,NA,-0.25
2020-06-12,27.5,27.5,27.78,27.3,60.83,0
2020-06-11,27.5,28.06,28.13,27.46,66.95,-1.79
2020-06-10,28,28.24,28.47,27.91,58.89,-0.81
2020-06-09,28.23,28.02,28.36,27.94,61.11,0.46
2020-06-08,28.1,28.27,28.36,27.98,52.59,-0.53
2020-06-07,28.25,28.27,28.27,28.25,NA,0.39
2020-06-05,28.14,27.72,28.4,27.67,70.34,1.15
2020-06-04,27.82,27.84,27.86,27.5,47.72,-0.14
2020-06-03,27.86,27.97,28.2,27.78,46.15,-0.29
2020-06-02,27.94,27.6,28.01,27.48,54.44,1.23
2020-06-01,27.6,27.36,27.8,27.12,66.2,0.88
